user_id,friend_id,timestamp
376,1305,1246529184
2468,21,1244515727
1969,2385,1246604701
873,584,1247366925
869,840,1247314175
1602,2538,1243870041
2106,1663,1248467921
2041,1343,1246381361
2866,2310,1248021320
2281,954,1248409344
1861,887,1247622907
2725,2824,1244924814
2700,2436,1246178128
741,2673,1246745261
1479,915,1247824868
58,1343,1248287195
2019,2575,1243952545
1133,856,1248321312
2923,2962,1244786779
1228,740,1246553965
230,1345,1248251558
346,2975,1244856695
878,1349,1248415495
2713,2643,1247177259
2424,1028,1248220519
1668,386,1244140557
1508,2549,1248586655
2713,2943,1245460240
2641,1126,1245652160
396,1062,1245216184
1714,314,1245814459
1019,2222,1245751391
98,1482,1247217680
355,10,1246488230
445,242,1246303716
383,1636,1245981703
566,393,1248007383
2180,1295,1247683476
318,184,1245864127
466,649,1244682722
1331,1253,1247757338
480,1951,1246438852
631,781,1247789535
2684,2390,1245649842
788,2832,1245325537
1128,17,1244606819
577,2367,1244018370
53,2972,1248922585
617,3,1246633200
1436,152,1247606466
1746,2216,1244641734
2664,1284,1248311792
749,1422,1246313531
1816,676,1246081414
460,2860,1246502270
2529,1675,1244852646
1943,1834,1248372154
779,1154,1244774842
2717,2962,1248196297
107,2317,1248834502
1238,172,1248603285
442,2753,1247389965
2863,476,1244234027
1873,1853,1245682285
1383,616,1246386221
1628,659,1245089534
2570,1831,1248527407
964,1501,1245554146
2283,59,1245006221
1209,2050,1248425259
148,2064,1246438370
1994,749,1244461959
1379,2547,1247870856
699,60,1245029283
1001,2090,1245008695
1696,1325,1247932039
2462,91,1248383485
2935,2243,1246850701
2967,2289,1244783400
1857,2704,1248220043
1267,1436,1244266467
1518,118,1245075481
2737,1035,1244685376
1199,522,1245641968
2469,611,1245023903
545,876,1244411265
846,2131,1246840857
2765,164,1248604513
2478,2810,1246443331
1713,1248,1245618533
2370,2665,1245960848
960,223,1246548206
604,2781,1244336256
811,770,1244740372
2370,989,1244708541
2213,2760,1248814562
2405,2819,1246793299
1981,1833,1247716704
450,1113,1248395308
1409,2629,1246395903
319,1374,1247079813
2976,1674,1245274991
811,2864,1244080279
1109,768,1246536554
1,2265,1248975926
2813,992,1246652741
1440,1993,1245780989
696,237,1248105998
1633,1727,1246131806
497,1857,1247884010
720,1104,1246498885
2001,470,1247376047
556,1206,1248727514
40,1006,1246064295
608,2906,1245050742
2265,2120,1247246731
548,2346,1244085588
1497,566,1245131812
2804,1500,1248190739
2982,439,1247565565
2458,2753,1245142257
2380,586,1248447851
2236,831,1247428080
512,2496,1245622167
755,2071,1246285543
1652,687,1247009119
223,585,1246118163
2761,606,1246913189
2362,736,1243981980
2771,2235,1244034100
223,2994,1244399286
2542,1978,1244608273
1733,1240,1247858419
2066,340,1244155072
740,2939,1243915170
561,1209,1248189385
48,2617,1244594532
1652,2784,1248382179
2142,421,1247639424
2593,1371,1244522221
405,506,1247569350
1649,966,1247688920
1962,991,1248992108
2541,1191,1247276541
1066,1517,1248241583
15,1609,1247881637
163,2584,1246299534
411,2899,1245599557
1684,2702,1244030362
1046,1766,1246622394
2555,34,1248775415
272,803,1248412016
1867,1815,1248150619
2675,991,1248332137
2250,2807,1248155500
186,718,1247653659
2891,804,1244190867
2587,1702,1244072643
2066,1420,1244796865
2612,1250,1246196302
1627,1542,1244312121
1991,1258,1248649771
1852,1919,1245183102
2311,2036,1244816789
1926,580,1248961192
2341,2045,1245515297
1031,672,1246786449
1459,2469,1248729193
2241,2414,1244644942
1470,930,1248091211
2725,1288,1248813876
1448,747,1245451148
1765,2023,1244396255
544,1175,1248462146
824,1552,1247773246
270,490,1248277106
2207,2624,1244594908
144,1473,1243876609
956,2335,1244562164
1373,1910,1244488110
2235,2355,1246843443
1073,1920,1248609311
50,2815,1245576675
2771,1869,1244689762
2098,277,1248222486
632,1105,1244631274
210,286,1243878491
