user_id,follower_id,timestamp
4350,3145,2010-01-31 17:18:59
1577,3714,2010-01-04 11:53:38
2363,1456,2010-01-17 01:27:00
2070,1101,2010-03-26 19:04:43
1213,2614,2010-03-13 23:35:13
429,1458,2010-01-22 21:23:53
2299,420,2010-02-10 04:09:34
3266,2279,2010-03-06 06:01:40
1276,3345,2010-03-09 00:18:57
2500,4406,2010-02-28 00:13:35
4364,133,2010-03-19 04:12:24
1852,598,2010-02-11 04:24:13
4315,2237,2010-02-19 21:15:48
4910,3768,2010-01-10 11:47:28
2991,4199,2010-02-03 05:41:45
2692,2857,2010-03-11 03:34:16
561,2765,2010-03-21 11:47:23
2207,4924,2010-02-06 01:19:49
1299,1222,2010-01-16 19:57:18
524,1623,2010-01-22 07:18:19
2009,3417,2010-01-26 20:39:23
2982,170,2010-01-21 14:45:51
4915,4541,2010-01-29 14:50:18
1792,3,2010-01-26 13:47:59
407,4499,2010-02-09 05:51:05
1640,2780,2010-01-05 08:12:59
3289,1277,2010-02-03 02:56:06
3138,1306,2010-02-22 01:53:45
3185,164,2010-01-16 00:22:18
4006,445,2010-03-18 18:08:44
260,2803,2010-02-24 00:28:03
1274,4021,2010-03-28 13:17:35
3514,4771,2010-01-06 18:29:37
2743,1922,2010-01-14 07:55:07
3116,169,2010-01-15 23:15:00
2469,4275,2010-02-09 22:30:06
2163,3596,2010-01-20 07:21:31
1526,4434,2010-01-08 17:24:59
3115,1476,2010-03-17 20:29:13
1773,4058,2010-01-17 10:51:27
3414,1202,2010-01-04 03:36:17
1248,4871,2010-01-31 11:33:05
3474,443,2010-02-26 02:42:47
2356,234,2010-01-03 08:54:55
2419,4933,2010-01-26 18:20:05
2002,3150,2010-01-12 09:30:46
122,3839,2010-01-10 04:56:30
516,2687,2010-01-11 13:55:50
4826,4400,2010-02-23 06:23:43
1932,4853,2010-03-08 22:35:33
1611,1134,2010-03-19 05:27:06
2671,2462,2010-01-03 04:53:55
4760,1250,2010-02-07 18:28:19
3978,1167,2010-01-19 22:28:17
4633,1557,2010-02-19 12:06:37
3761,4876,2010-02-04 04:41:16
3275,4207,2010-01-04 19:31:08
4917,1206,2010-02-27 06:48:45
821,324,2010-02-28 18:21:41
47,2997,2010-02-25 01:51:33
4277,95,2010-03-26 10:22:12
955,3363,2010-01-03 18:31:25
410,1166,2010-02-23 05:32:08
4568,549,2010-03-25 21:56:28
698,727,2010-02-11 07:38:00
580,4792,2010-03-19 18:18:54
1123,4752,2010-01-03 23:14:18
1535,1588,2010-03-21 21:05:16
287,451,2010-01-29 02:35:10
4517,4196,2010-03-15 14:03:33
2254,314,2010-01-14 23:46:50
3015,2490,2010-03-09 06:51:47
253,3717,2010-03-04 04:37:05
2639,2958,2010-03-09 09:24:56
507,4770,2010-03-20 04:39:49
2891,2545,2010-02-16 10:24:17
2979,587,2010-01-02 00:13:16
4351,1875,2010-03-30 15:05:53
1550,3001,2010-01-12 21:00:49
1131,636,2010-02-01 20:03:29
2837,4116,2010-01-02 23:39:32
1337,900,2010-03-10 07:15:32
2621,302,2010-01-06 18:14:26
939,4478,2010-02-16 05:11:18
1411,815,2010-03-24 17:20:59
1746,1146,2010-01-02 02:58:09
199,2078,2010-03-27 11:51:52
3696,4157,2010-03-25 15:44:46
2940,4080,2010-03-30 01:04:05
1624,3239,2010-03-19 11:10:27
3489,4655,2010-03-15 22:46:48
2075,2588,2010-01-14 17:31:03
404,4989,2010-01-11 12:56:36
2612,3554,2010-01-21 04:38:25
3144,4575,2010-02-12 21:39:29
3063,596,2010-02-05 09:22:46
3302,473,2010-02-25 00:10:21
1773,1322,2010-02-04 04:26:45
1847,3528,2010-02-13 03:57:49
3205,1501,2010-01-05 08:09:58
3063,1622,2010-03-13 17:08:46
2354,3136,2010-03-07 19:06:02
3670,2084,2010-01-05 08:53:35
2806,1110,2010-02-01 09:14:29
